model,target,feature,importance,importance_share
lightgbm_trial_2,COGS,dayofyear_sin,328.0,0.024869209189476077
lightgbm_trial_2,COGS,COGS_roll_std_7,308.0,0.02335279399499583
lightgbm_trial_2,COGS,cogs_to_revenue_lag_1,304.0,0.02304951095609978
lightgbm_trial_2,COGS,Revenue_roll_std_7,293.0,0.022215482599135642
lightgbm_trial_2,COGS,COGS_roll_mean_7,285.0,0.021608916521343544
lightgbm_trial_2,COGS,COGS_roll_std_30,256.0,0.019410114489347183
lightgbm_trial_2,COGS,Revenue_roll_min_7,248.0,0.018803548411555085
lightgbm_trial_2,COGS,dayofweek,230.0,0.01743877473652286
lightgbm_trial_2,COGS,COGS_roll_mean_365,230.0,0.01743877473652286
lightgbm_trial_2,COGS,dayofweek_cos,226.0,0.01713549169762681
lightgbm_trial_2,COGS,dayofyear_cos,226.0,0.01713549169762681
lightgbm_trial_2,COGS,Revenue_lag_30,224.0,0.016983850178178786
lightgbm_trial_2,COGS,dayofyear,219.0,0.016604746379558725
lightgbm_trial_2,COGS,COGS_roll_std_90,219.0,0.016604746379558725
lightgbm_trial_2,COGS,cogs_expanding_mean,219.0,0.016604746379558725
lightgbm_trial_2,COGS,dayofweek_sin,211.0,0.015998180301766623
lightgbm_trial_2,COGS,Revenue_roll_mean_7,198.0,0.015012510425354461
lightgbm_trial_2,COGS,revenue_expanding_mean,196.0,0.014860868905906438
lightgbm_trial_2,COGS,Revenue_roll_mean_30,184.0,0.013951019789218288
lightgbm_trial_2,COGS,Revenue_roll_mean_365,164.0,0.012434604594738038
lightgbm_trial_2,COGS,Revenue_roll_std_30,158.0,0.011979680036393965
lightgbm_trial_2,COGS,COGS_roll_mean_30,141.0,0.010690727121085753
lightgbm_trial_2,COGS,COGS_roll_min_30,138.0,0.010463264841913716
lightgbm_trial_2,COGS,COGS_roll_std_365,138.0,0.010463264841913716
lightgbm_trial_2,COGS,Revenue_roll_mean_90,119.0,0.00902267040715748
lightgbm_trial_2,COGS,Revenue_roll_min_30,117.0,0.008871028887709454
lightgbm_trial_2,COGS,Revenue_roll_std_90,107.0,0.00811282129046933
lightgbm_trial_2,COGS,Revenue_roll_max_7,105.0,0.007961179771021306
lightgbm_trial_2,COGS,Revenue_roll_std_365,98.0,0.007430434452953219
lightgbm_trial_2,COGS,Revenue_roll_min_365,95.0,0.0072029721737811815
lightgbm_trial_2,COGS,COGS_roll_mean_90,86.0,0.006520585336265069
lightgbm_trial_2,COGS,COGS_roll_max_7,85.0,0.006444764576541057
lightgbm_trial_2,COGS,weekofyear,80.0,0.006065660777920995
lightgbm_trial_2,COGS,weekofyear_sin,80.0,0.006065660777920995
lightgbm_trial_2,COGS,Revenue_roll_min_90,74.0,0.00561073621957692
lightgbm_trial_2,COGS,year,71.0,0.0053832739404048825
lightgbm_trial_2,COGS,COGS_roll_max_30,68.0,0.005155811661232846
lightgbm_trial_2,COGS,Revenue_roll_max_30,57.0,0.004321783304268708
lightgbm_trial_2,COGS,is_quarter_end,54.0,0.004094321025096672
lightgbm_trial_2,COGS,Revenue_roll_max_365,48.0,0.0036393964667525967
lightgbm_trial_2,COGS,COGS_roll_max_90,45.0,0.0034119341875805597
lightgbm_trial_2,COGS,month_cos,41.0,0.0031086511486845096
lightgbm_trial_2,COGS,COGS_roll_min_90,32.0,0.002426264311168398
lightgbm_trial_2,COGS,Revenue_roll_max_90,30.0,0.002274622791720373
lightgbm_trial_2,COGS,month_sin,28.0,0.0021229812722723482
lightgbm_trial_2,COGS,is_month_end,24.0,0.0018196982333762983
lightgbm_trial_2,COGS,weekofyear_cos,24.0,0.0018196982333762983
lightgbm_trial_2,COGS,is_month_start,20.0,0.0015164151944802487
lightgbm_trial_2,COGS,COGS_roll_max_365,16.0,0.001213132155584199
lightgbm_trial_2,COGS,COGS_roll_min_365,11.0,0.0008340283569641367
lightgbm_trial_2,COGS,month,8.0,0.0006065660777920995
lightgbm_trial_2,COGS,is_weekend,5.0,0.00037910379862006216
lightgbm_trial_2,COGS,quarter,1.0,7.582075972401244e-05
lightgbm_trial_2,COGS,is_quarter_start,0.0,0.0
lightgbm_trial_2,COGS,is_year_start,0.0,0.0
lightgbm_trial_2,COGS,is_year_end,0.0,0.0
lightgbm_trial_2,Revenue,dayofmonth,1119.0,0.08473421172194458
lightgbm_trial_2,Revenue,Revenue_lag_1,737.0,0.05580796607602605
lightgbm_trial_2,Revenue,COGS_lag_365,705.0,0.05338482507950931
lightgbm_trial_2,Revenue,Revenue_lag_7,509.0,0.03854308647584431
lightgbm_trial_2,Revenue,gross_margin_lag_1,495.0,0.03748296228986824
lightgbm_trial_2,Revenue,COGS_lag_1,467.0,0.0353627139179161
lightgbm_trial_2,Revenue,Revenue_lag_365,462.0,0.03498409813721036
lightgbm_trial_2,Revenue,cogs_to_revenue_lag_1,455.0,0.03445403604422232
