model_group,target,feature,importance
residual_xgb,COGS,cos_365_25_1,0.02167138271033764
residual_xgb,COGS,is_month_end,0.021143633872270584
residual_xgb,COGS,sin_365_25_2,0.02084650844335556
residual_xgb,COGS,event_back_to_school,0.020552989095449448
residual_xgb,COGS,is_weekend,0.019146183505654335
residual_xgb,COGS,sin_7_1,0.018896888941526413
residual_xgb,COGS,sin_365_25_3,0.01787714473903179
residual_xgb,COGS,days_to_mid_year_sale,0.01658148318529129
residual_xgb,COGS,days_to_9_9,0.016331152990460396
residual_xgb,COGS,sin_30_5_2,0.016330070793628693
residual_xgb,COGS,days_to_new_year,0.01612229458987713
residual_xgb,COGS,days_to_10_10,0.01525502372533083
residual_xgb,COGS,sin_30_5_3,0.014731237664818764
residual_xgb,COGS,days_to_tet_like,0.014534412883222103
residual_xgb,COGS,yoy_lag_364_growth,0.014318509958684444
residual_xgb,COGS,sin_7_2,0.013959050178527832
residual_xgb,COGS,cos_365_25_2,0.013205444440245628
residual_xgb,COGS,cos_7_1,0.01228494942188263
residual_xgb,COGS,dayofweek,0.012202459387481213
residual_xgb,COGS,weekofyear,0.011850118637084961
residual_xgb,COGS,days_to_christmas_year_end,0.01149350218474865
residual_xgb,COGS,event_payday,0.010928262025117874
residual_xgb,COGS,cos_7_3,0.009250340983271599
residual_xgb,COGS,sin_7_3,0.009082162752747536
residual_xgb,COGS,cos_7_2,0.004605451133102179
residual_xgb,COGS,month,0.003952889237552881
residual_xgb,COGS,is_quarter_start,0.0
residual_xgb,COGS,is_quarter_end,0.0
residual_xgb,COGS,event_new_year,0.0
residual_xgb,COGS,event_tet_like,0.0
residual_xgb,COGS,event_valentine,0.0
residual_xgb,COGS,event_womens_day,0.0
residual_xgb,COGS,event_mid_year_sale,0.0
residual_xgb,COGS,event_9_9,0.0
residual_xgb,COGS,event_10_10,0.0
residual_xgb,COGS,event_11_11,0.0
residual_xgb,COGS,event_12_12,0.0
residual_xgb,COGS,event_christmas_year_end,0.0
residual_xgb,Revenue,days_to_valentine,0.10581104457378387
residual_xgb,Revenue,days_to_12_12,0.08200077712535858
residual_xgb,Revenue,rolling_30_yoy_growth,0.08062927424907684
residual_xgb,Revenue,event_back_to_school,0.06469877809286118
residual_xgb,Revenue,sin_30_5_1,0.04524064064025879
residual_xgb,Revenue,dayofmonth,0.02948807366192341
residual_xgb,Revenue,days_to_christmas_year_end,0.02933392859995365
residual_xgb,Revenue,yoy_lag_365_growth,0.028574097901582718
residual_xgb,Revenue,days_from_start,0.027979200705885887
residual_xgb,Revenue,cos_30_5_1,0.027501557022333145
residual_xgb,Revenue,is_month_start,0.027482643723487854
residual_xgb,Revenue,sin_365_25_1,0.025690343230962753
residual_xgb,Revenue,cos_365_25_1,0.025288132950663567
residual_xgb,Revenue,baseline_prediction,0.02454676479101181
residual_xgb,Revenue,days_to_11_11,0.021050039678812027
residual_xgb,Revenue,days_to_tet_like,0.020215019583702087
residual_xgb,Revenue,month,0.020036548376083374
residual_xgb,Revenue,days_to_womens_day,0.01927512139081955
residual_xgb,Revenue,sin_365_25_2,0.01800823025405407
residual_xgb,Revenue,days_to_new_year,0.017665408551692963
residual_xgb,Revenue,days_to_back_to_school,0.017395321279764175
residual_xgb,Revenue,cos_365_25_2,0.016889112070202827
residual_xgb,Revenue,days_to_mid_year_sale,0.016868945211172104
residual_xgb,Revenue,cos_365_25_3,0.016512615606188774
residual_xgb,Revenue,cos_30_5_2,0.015677934512495995
residual_xgb,Revenue,yoy_lag_364_growth,0.014035250060260296
residual_xgb,Revenue,sin_365_25_3,0.0131953414529562
residual_xgb,Revenue,sin_30_5_2,0.013003272004425526
residual_xgb,Revenue,days_to_10_10,0.0120450584217906
residual_xgb,Revenue,is_month_end,0.011519868858158588
residual_xgb,Revenue,days_to_9_9,0.01098737120628357
residual_xgb,Revenue,sin_30_5_3,0.010896589607000351
residual_xgb,Revenue,sin_7_1,0.010747993364930153
residual_xgb,Revenue,cos_7_1,0.010378430597484112
residual_xgb,Revenue,cos_30_5_3,0.00988068524748087
residual_xgb,Revenue,is_weekend,0.009270578622817993
residual_xgb,Revenue,weekofyear,0.008005190640687943
residual_xgb,Revenue,event_payday,0.00728008383885026
residual_xgb,Revenue,sin_7_2,0.006941508036106825
residual_xgb,Revenue,sin_7_3,0.0063985977321863174
residual_xgb,Revenue,cos_7_3,0.0060895574279129505
residual_xgb,Revenue,dayofweek,0.005927210208028555
residual_xgb,Revenue,cos_7_2,0.005665849428623915
residual_xgb,Revenue,event_9_9,0.0038719724398106337
residual_xgb,Revenue,is_quarter_start,0.0
residual_xgb,Revenue,is_quarter_end,0.0
residual_xgb,Revenue,event_new_year,0.0
residual_xgb,Revenue,event_tet_like,0.0
residual_xgb,Revenue,event_valentine,0.0
residual_xgb,Revenue,event_womens_day,0.0
residual_xgb,Revenue,event_mid_year_sale,0.0
residual_xgb,Revenue,event_10_10,0.0
residual_xgb,Revenue,event_11_11,0.0
residual_xgb,Revenue,event_12_12,0.0
residual_xgb,Revenue,event_christmas_year_end,0.0
